,node1,node2,link
0,5232,6190,1
1,405,6045,1
2,1337,3204,1
3,5806,9924,1
4,2048,6337,1
5,5786,9181,1
6,2029,2991,1
7,2333,9826,1
8,916,9663,1
9,4471,4995,1
10,4906,8883,1
11,2471,3070,1
12,2677,8887,1
13,173,6719,1
14,227,6447,1
15,342,2723,1
16,7364,9128,1
17,551,6371,1
18,407,9786,1
19,2238,3300,1
20,4907,6666,1
21,2422,8651,1
22,167,7961,1
23,9294,9528,1
24,4159,6040,1
25,2236,8596,1
26,5455,7522,1
27,7364,8629,1
28,2610,9055,1
29,2078,6137,1
30,3541,9343,1
31,133,9389,1
32,7586,7782,1
33,3074,7978,1
34,347,6219,1
35,1387,9456,1
36,4792,6320,1
37,1303,7080,1
38,2442,2594,1
39,3077,9319,1
40,2174,5099,1
41,4233,7478,1
42,5073,9125,1
43,4542,9273,1
44,7989,8168,1
45,4643,6083,1
46,8139,8232,1
47,4738,8985,1
48,3290,4423,1
49,1352,3541,1
50,7112,9975,1
51,6578,9173,1
52,5282,7467,1
53,2644,5975,1
54,2285,6545,1
55,3766,6987,1
56,5895,8348,1
57,5276,8077,1
58,3005,8508,1
59,3493,7813,1
60,3741,5903,1
61,1689,8419,1
62,585,7108,1
63,1573,5565,1
64,7703,9982,1
65,3491,3965,1
66,3919,7130,1
67,1535,6129,1
68,2159,7091,1
69,2664,7651,1
70,2758,8405,1
71,6113,8413,1
72,945,2214,1
73,3342,6493,1
74,9157,9815,1
75,4000,7356,1
76,3899,5977,1
77,1193,2104,1
78,1282,5698,1
79,4656,5176,1
80,4539,5890,1
81,5389,6206,1
82,4939,8216,1
83,715,9371,1
84,4615,9599,1
85,5977,8517,1
86,4225,4499,1
87,3491,4948,1
88,7789,9962,1
89,2983,7564,1
90,3222,3493,1
91,694,1466,1
92,2105,6667,1
93,7362,8147,1
94,9294,9493,1
95,1123,9125,1
96,459,6169,1
97,3630,6218,1
98,6340,8168,1
99,7165,9347,1
100,2455,6634,1
101,495,4230,1
102,5432,8567,1
103,2174,3814,1
104,2664,8119,1
105,715,9373,1
106,3418,6281,1
107,2596,6133,1
108,6202,8579,1
109,6116,8139,1
110,3242,9241,1
111,5835,8405,1
112,8002,9331,1
113,1783,7803,1
114,7493,9255,1
115,4,187,1
116,3089,5539,1
117,4302,6552,1
118,2208,8910,1
119,5542,9603,1
120,3328,4969,1
121,1008,6653,1
122,542,879,1
123,2160,5589,1
124,213,4253,1
125,2493,4304,1
126,2852,8709,1
127,3229,6773,1
128,6189,8770,1
129,3062,5110,1
130,5867,7157,1
131,6071,6956,1
132,1094,9561,1
133,770,8139,1
134,1234,4072,1
135,1418,9940,1
136,3404,8857,1
137,3187,3438,1
138,3066,6562,1
139,5952,6045,1
140,5496,9705,1
141,1107,5019,1
142,1243,8629,1
143,6342,6404,1
144,5835,7156,1
145,1602,3838,1
146,5513,9373,1
147,3269,6932,1
148,1582,2464,1
149,8590,9939,1
150,4595,4607,1
151,2442,5897,1
152,210,4484,1
153,2301,5684,1
154,5629,6358,1
155,7549,8506,1
156,6082,9171,1
157,3484,4283,1
158,3091,8424,1
159,2567,5215,1
160,5382,9377,1
161,2232,3199,1
162,44,4401,1
163,701,9741,1
164,5475,8189,1
165,952,3987,1
166,4686,9141,1
167,2449,5049,1
168,4991,6605,1
169,764,1248,1
170,5495,5623,1
171,9238,9933,1
172,3642,7779,1
173,2252,4488,1
174,1520,9419,1
175,5292,9845,1
176,5019,8718,1
177,688,7887,1
178,6013,8405,1
179,839,4917,1
180,552,7834,1
181,9049,9990,1
182,693,1225,1
183,7524,9938,1
184,5942,7945,1
185,5212,9949,1
186,5918,8755,1
187,1964,9754,1
188,8745,9829,1
189,275,8717,1
190,897,4670,1
191,5432,6993,1
192,6444,8740,1
193,4399,8524,1
194,5086,5499,1
195,613,8874,1
196,2874,9871,1
197,4671,9817,1
198,1313,9542,1
199,3805,8624,1
200,2323,9084,1
201,2493,5688,1
202,8993,9656,1
203,1722,2007,1
204,8120,9128,1
205,5183,9434,1
206,6421,9134,1
207,3743,7565,1
208,820,4888,1
209,1123,9528,1
210,4745,6557,1
211,307,3113,1
212,514,5518,1
213,4558,5874,1
214,2112,7135,1
215,1387,5553,1
216,505,7100,1
217,3029,4099,1
218,666,9059,1
219,4382,6174,1
220,56,3935,1
221,3270,6264,1
222,3688,4729,1
223,3472,4276,1
224,2043,6834,1
225,8026,9713,1
226,2813,3649,1
227,7502,9761,1
228,213,7431,1
229,343,5843,1
230,7355,8795,1
231,159,9525,1
232,9504,9939,1
233,6422,9736,1
234,754,1654,1
235,2208,7834,1
236,4672,9074,1
237,3062,9496,1
238,347,4045,1
239,4420,5496,1
240,197,5451,1
241,1387,6721,1
242,6612,9359,1
243,865,9355,1
244,8755,9319,1
245,4434,4650,1
246,5942,9315,1
247,4499,8606,1
248,1593,3477,1
249,1531,4211,1
250,1362,6811,1
251,2245,3584,1
252,5183,6096,1
253,2664,9181,1
254,4677,9700,1
255,4741,6746,1
256,1497,6984,1
257,3024,4516,1
258,1017,5469,1
259,888,1132,1
260,3728,7979,1
261,1189,4794,1
262,3533,9347,1
263,2940,5268,1
264,7078,7412,1
265,4499,4689,1
266,648,4531,1
267,917,6441,1
268,2930,6576,1
269,4516,8139,1
270,917,5897,1
271,4381,9332,1
272,1494,1780,1
273,6218,9434,1
274,2615,3743,1
275,651,7249,1
276,3184,9646,1
277,4062,7057,1
278,3881,5648,1
279,1323,2466,1
280,2651,8206,1
281,4003,5456,1
282,2802,4209,1
283,4729,6960,1
284,1413,5664,1
285,1694,3222,1
286,7911,8049,1
287,3630,5495,1
288,7871,8519,1
289,2992,5018,1
290,722,2238,1
291,2822,7828,1
292,1101,4470,1
293,8302,9319,1
294,2232,6766,1
295,5390,9545,1
296,4091,4338,1
297,4,9706,1
298,3608,9503,1
299,6232,9294,1
300,715,9220,1
301,1767,6069,1
302,2278,7357,1
303,6133,7961,1
304,1127,3343,1
305,3223,8434,1
306,3089,9761,1
307,6540,7781,1
308,5338,6844,1
309,4388,4899,1
310,3390,9983,1
311,7298,7442,1
312,3263,4191,1
313,1126,6398,1
314,1726,8482,1
315,290,2545,1
316,6496,7508,1
317,6331,7057,1
318,3343,9645,1
319,4948,5212,1
320,1694,8015,1
321,5513,6160,1
322,3499,5432,1
323,7269,9663,1
324,3047,8957,1
325,2684,3994,1
326,2461,3558,1
327,954,3029,1
328,7095,7396,1
329,8013,9180,1
330,5318,6492,1
331,6218,8471,1
332,3342,5768,1
333,4537,5861,1
334,7210,9637,1
335,3328,9949,1
336,5897,9220,1
337,1694,7442,1
338,4909,9692,1
339,307,8302,1
340,8883,9910,1
341,702,4484,1
342,6113,6390,1
343,1691,4910,1
344,4615,5550,1
345,5632,9987,1
346,406,2280,1
347,6492,8540,1
348,3066,6994,1
349,1123,8006,1
350,5878,5916,1
351,5634,7894,1
352,1573,1814,1
353,1705,9988,1
354,4540,9759,1
355,142,2833,1
356,535,1122,1
357,1469,1585,1
358,5821,7822,1
359,3070,7767,1
360,1814,8400,1
361,2163,4269,1
362,9176,9987,1
