,node1,node2,link
0,2970,6696,1
1,4731,6631,1
2,4662,7027,1
3,7976,9532,1
4,2431,6567,1
5,86,2410,1
6,2431,2780,1
7,648,7655,1
8,8054,8483,1
9,4619,6645,1
10,73,9611,1
11,2647,7195,1
12,452,6246,1
13,479,7495,1
14,1767,3006,1
15,5367,8623,1
16,2078,9351,1
17,2357,3860,1
18,3122,7337,1
19,3153,8679,1
20,1001,9535,1
21,2078,2321,1
22,4460,7944,1
23,3889,5490,1
24,6118,9572,1
25,3121,3208,1
26,3775,6631,1
27,1876,1924,1
28,2774,8965,1
29,1674,5188,1
30,3602,7799,1
31,5485,7684,1
32,2900,7825,1
33,2347,6608,1
34,119,5224,1
35,2184,3007,1
36,9025,9395,1
37,7349,8175,1
38,4975,7835,1
39,6645,7169,1
40,3030,7363,1
41,5404,6301,1
42,6295,6862,1
43,7810,9025,1
44,1672,8184,1
45,4768,7267,1
46,4235,9620,1
47,5973,6984,1
48,119,4275,1
49,5896,7497,1
50,3206,9513,1
51,1057,7006,1
52,1173,5629,1
53,1979,4208,1
54,6134,6639,1
55,2494,2742,1
56,4331,7153,1
57,7169,8875,1
58,1611,7914,1
59,2177,2808,1
60,386,9887,1
61,7049,8148,1
62,7509,9130,1
63,597,1979,1
64,1876,9917,1
65,1095,7958,1
66,2273,8759,1
67,5188,8054,1
68,3712,6245,1
69,7252,9390,1
70,2330,4069,1
71,789,2078,1
72,848,962,1
73,5561,8775,1
74,7200,9395,1
75,42,3546,1
76,73,3572,1
77,1001,5310,1
78,6455,7281,1
79,1801,3712,1
80,975,6569,1
81,1460,4992,1
82,2471,3701,1
83,1629,3712,1
84,2170,6469,1
85,4447,8570,1
86,2836,8637,1
87,5629,7088,1
88,4193,9812,1
89,1228,7958,1
90,3887,6463,1
91,4077,6212,1
92,7090,7343,1
93,6872,8635,1
94,9338,9387,1
95,494,9572,1
96,1172,9051,1
97,73,8896,1
98,2559,8635,1
99,3177,7614,1
100,1265,8814,1
101,4240,9433,1
102,1343,5920,1
103,140,6134,1
104,2134,7462,1
105,4819,7750,1
106,433,7847,1
107,4772,7657,1
108,27,885,1
109,7123,7827,1
110,3218,9886,1
111,7354,9532,1
112,3252,7631,1
113,3099,7374,1
114,1617,3161,1
115,3672,6436,1
116,2475,8036,1
117,576,3701,1
118,2672,4084,1
119,2861,5315,1
120,3288,6301,1
121,2252,8394,1
122,2281,8058,1
123,2281,6301,1
124,2867,9834,1
125,2231,7027,1
126,73,6263,1
127,1017,6625,1
128,2078,6094,1
129,2078,5474,1
130,2078,7031,1
131,1358,9980,1
132,7090,8390,1
133,2308,2330,1
134,6825,7318,1
135,974,4565,1
136,837,7198,1
137,8546,9955,1
138,1900,6302,1
139,408,2635,1
140,92,141,1
141,3874,9301,1
142,2907,7865,1
143,1501,2885,1
144,3045,6472,1
145,7865,9395,1
146,2078,3028,1
147,1514,1698,1
148,2420,9677,1
149,7698,9588,1
150,5300,9919,1
151,5421,8244,1
152,2357,4572,1
153,3816,9049,1
154,3522,5950,1
155,3071,7177,1
156,4565,9051,1
157,3153,9555,1
158,8814,9737,1
159,7597,9203,1
160,6424,9980,1
161,3153,4752,1
162,975,1483,1
163,2078,6165,1
164,2159,4007,1
165,4687,5679,1
166,2701,6371,1
167,1591,7024,1
168,2078,8497,1
169,3603,3922,1
170,6790,7013,1
171,2816,3712,1
172,2182,9098,1
173,1234,8635,1
174,4515,6742,1
175,3546,7317,1
176,4459,4669,1
177,974,9459,1
178,335,8611,1
179,2347,3917,1
180,983,6576,1
181,6127,9051,1
182,1101,4993,1
183,2284,9051,1
184,73,7631,1
185,3700,9051,1
186,817,4370,1
187,6970,9364,1
188,61,6631,1
189,2809,9008,1
190,150,3027,1
191,5495,9006,1
192,2078,6854,1
193,7562,7807,1
194,7081,8563,1
195,2281,2729,1
196,3546,9006,1
197,2078,6483,1
198,2163,8357,1
199,308,1672,1
200,218,1632,1
201,7027,8968,1
202,7027,7438,1
203,2123,7354,1
204,7521,9640,1
205,4629,8933,1
206,862,7073,1
207,8009,8050,1
208,1063,3546,1
209,974,8576,1
210,7090,7195,1
211,4565,5907,1
212,494,2028,1
213,5817,9876,1
214,6756,7460,1
215,4828,9761,1
216,1906,5131,1
217,9529,9839,1
218,6149,6952,1
219,4173,5323,1
220,1786,2105,1
221,2442,4609,1
222,3479,6025,1
223,3887,7195,1
